연도,지출품목별,지출코드,지출목적,소비자물가지수,소득계층,가구형태,가계지출
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,500~600만원 미만,전체가구,387289.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,전체가구,436969.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,전체,근로자가구,324226.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100만원 미만,근로자가구,156766.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100~200만원 미만,근로자가구,204803.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,200~300만원 미만,근로자가구,263645.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,300~400만원 미만,근로자가구,315885.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,400~500만원 미만,근로자가구,364217.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,500~600만원 미만,근로자가구,384696.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,근로자가구,436700.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,전체,근로자외가구,286576.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100만원 미만,근로자외가구,169745.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,100~200만원 미만,근로자외가구,237941.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,200~300만원 미만,근로자외가구,308693.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,300~400만원 미만,근로자외가구,337110.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,400~500만원 미만,근로자외가구,375622.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,500~600만원 미만,근로자외가구,394657.0
2013,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.36,600만원이상 ~ 700미만,근로자외가구,437799.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,전체,전체가구,308520.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100만원 미만,전체가구,163117.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100~200만원 미만,전체가구,223441.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,200~300만원 미만,전체가구,279056.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,300~400만원 미만,전체가구,323326.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,400~500만원 미만,전체가구,362071.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,500~600만원 미만,전체가구,389540.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,600만원이상 ~ 700미만,전체가구,434590.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,전체,근로자가구,325878.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100만원 미만,근로자가구,150227.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100~200만원 미만,근로자가구,206888.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,200~300만원 미만,근로자가구,270371.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,300~400만원 미만,근로자가구,314616.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,400~500만원 미만,근로자가구,358370.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,500~600만원 미만,근로자가구,385698.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,600만원이상 ~ 700미만,근로자가구,432792.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,전체,근로자외가구,283941.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100만원 미만,근로자외가구,166075.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,100~200만원 미만,근로자외가구,239245.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,200~300만원 미만,근로자외가구,293845.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,300~400만원 미만,근로자외가구,338341.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,400~500만원 미만,근로자외가구,370214.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,500~600만원 미만,근로자외가구,400136.0
2014,01 식료품 및 비주류음료,1,식료품 및 비주류음료,86.612,600만원이상 ~ 700미만,근로자외가구,440142.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,전체,전체가구,306744.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100만원 미만,전체가구,157652.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100~200만원 미만,전체가구,218533.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,200~300만원 미만,전체가구,269374.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,300~400만원 미만,전체가구,315823.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,400~500만원 미만,전체가구,367957.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,500~600만원 미만,전체가구,389566.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,600만원이상 ~ 700미만,전체가구,438488.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,전체,근로자가구,323551.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100만원 미만,근로자가구,154291.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100~200만원 미만,근로자가구,200219.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,200~300만원 미만,근로자가구,251214.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,300~400만원 미만,근로자가구,307077.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,400~500만원 미만,근로자가구,360998.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,500~600만원 미만,근로자가구,389168.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,600만원이상 ~ 700미만,근로자가구,443161.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,전체,근로자외가구,282835.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100만원 미만,근로자외가구,158497.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,100~200만원 미만,근로자외가구,235522.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,200~300만원 미만,근로자외가구,297249.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,300~400만원 미만,근로자외가구,332112.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,400~500만원 미만,근로자외가구,383013.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,500~600만원 미만,근로자외가구,390590.0
2015,01 식료품 및 비주류음료,1,식료품 및 비주류음료,88.041,600만원이상 ~ 700미만,근로자외가구,424149.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,전체,전체가구,300750.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100만원 미만,전체가구,161766.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100~200만원 미만,전체가구,215047.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,200~300만원 미만,전체가구,265557.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,300~400만원 미만,전체가구,312693.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,400~500만원 미만,전체가구,360954.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,500~600만원 미만,전체가구,374729.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,600만원이상 ~ 700미만,전체가구,430682.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,전체,근로자가구,318429.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100만원 미만,근로자가구,158260.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100~200만원 미만,근로자가구,196355.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,200~300만원 미만,근로자가구,244608.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,300~400만원 미만,근로자가구,306666.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,400~500만원 미만,근로자가구,350412.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,500~600만원 미만,근로자가구,370865.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,600만원이상 ~ 700미만,근로자가구,434039.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,전체,근로자외가구,276713.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100만원 미만,근로자외가구,162521.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,100~200만원 미만,근로자외가구,232312.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,200~300만원 미만,근로자외가구,294809.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,300~400만원 미만,근로자외가구,324461.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,400~500만원 미만,근로자외가구,382689.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,500~600만원 미만,근로자외가구,383095.0
2016,01 식료품 및 비주류음료,1,식료품 및 비주류음료,90.073,600만원이상 ~ 700미만,근로자외가구,418935.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,전체,전체가구,360273.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100만원 미만,전체가구,231488.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100~200만원 미만,전체가구,285673.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,200~300만원 미만,전체가구,319338.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,300~400만원 미만,전체가구,367357.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,400~500만원 미만,전체가구,409794.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,500~600만원 미만,전체가구,438141.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,600만원이상 ~ 700미만,전체가구,501586.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,전체,근로자가구,359328.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100만원 미만,근로자가구,204951.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100~200만원 미만,근로자가구,258837.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,200~300만원 미만,근로자가구,274803.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,300~400만원 미만,근로자가구,335201.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,400~500만원 미만,근로자가구,393525.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,500~600만원 미만,근로자가구,421235.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,600만원이상 ~ 700미만,근로자가구,482010.5
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,전체,근로자외가구,361395.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100만원 미만,근로자외가구,237361.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,100~200만원 미만,근로자외가구,310486.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,200~300만원 미만,근로자외가구,386989.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,300~400만원 미만,근로자외가구,429031.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,400~500만원 미만,근로자외가구,442065.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,500~600만원 미만,근로자외가구,472501.0
2017,01 식료품 및 비주류음료,1,식료품 및 비주류음료,93.134,600만원이상 ~ 700미만,근로자외가구,542630.5
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,전체,전체가구,366672.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100만원 미만,전체가구,230907.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100~200만원 미만,전체가구,278789.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,200~300만원 미만,전체가구,313627.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,300~400만원 미만,전체가구,373297.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,400~500만원 미만,전체가구,392230.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,500~600만원 미만,전체가구,451942.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,600만원이상 ~ 700미만,전체가구,521286.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,전체,근로자가구,363366.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100만원 미만,근로자가구,205911.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100~200만원 미만,근로자가구,240585.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,200~300만원 미만,근로자가구,277209.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,300~400만원 미만,근로자가구,342155.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,400~500만원 미만,근로자가구,369100.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,500~600만원 미만,근로자가구,435003.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,600만원이상 ~ 700미만,근로자가구,498271.5
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,전체,근로자외가구,370906.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100만원 미만,근로자외가구,238950.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,100~200만원 미만,근로자외가구,314066.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,200~300만원 미만,근로자외가구,371089.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,300~400만원 미만,근로자외가구,426227.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,400~500만원 미만,근로자외가구,437337.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,500~600만원 미만,근로자외가구,486937.0
2018,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.717,600만원이상 ~ 700미만,근로자외가구,571553.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,전체,전체가구,332558.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100만원 미만,전체가구,180168.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100~200만원 미만,전체가구,233476.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,200~300만원 미만,전체가구,260546.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,300~400만원 미만,전체가구,319183.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,400~500만원 미만,전체가구,373110.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,500~600만원 미만,전체가구,409488.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,600만원이상 ~ 700미만,전체가구,459244.5
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,전체,근로자가구,340186.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100만원 미만,근로자가구,164327.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100~200만원 미만,근로자가구,198339.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,200~300만원 미만,근로자가구,226121.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,300~400만원 미만,근로자가구,303028.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,400~500만원 미만,근로자가구,358469.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,500~600만원 미만,근로자가구,398863.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,600만원이상 ~ 700미만,근로자가구,451417.5
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,전체,근로자외가구,321435.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100만원 미만,근로자외가구,183232.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,100~200만원 미만,근로자외가구,260986.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,200~300만원 미만,근로자외가구,307961.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,300~400만원 미만,근로자외가구,352379.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,400~500만원 미만,근로자외가구,403662.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,500~600만원 미만,근로자외가구,433792.0
2019,01 식료품 및 비주류음료,1,식료품 및 비주류음료,95.762,600만원이상 ~ 700미만,근로자외가구,482151.5
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,전체,전체가구,381056.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100만원 미만,전체가구,210888.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100~200만원 미만,전체가구,261246.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,200~300만원 미만,전체가구,292275.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,300~400만원 미만,전체가구,344789.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,400~500만원 미만,전체가구,419224.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,500~600만원 미만,전체가구,467236.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,600만원이상 ~ 700미만,전체가구,537276.5
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,전체,근로자가구,390406.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100만원 미만,근로자가구,185508.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100~200만원 미만,근로자가구,216573.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,200~300만원 미만,근로자가구,246402.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,300~400만원 미만,근로자가구,317296.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,400~500만원 미만,근로자가구,398967.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,500~600만원 미만,근로자가구,457028.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,600만원이상 ~ 700미만,근로자가구,535360.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,전체,근로자외가구,368161.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100만원 미만,근로자외가구,214927.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,100~200만원 미만,근로자외가구,287924.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,200~300만원 미만,근로자외가구,363332.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,300~400만원 미만,근로자외가구,392213.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,400~500만원 미만,근로자외가구,459315.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,500~600만원 미만,근로자외가구,492450.0
2020,01 식료품 및 비주류음료,1,식료품 및 비주류음료,100.0,600만원이상 ~ 700미만,근로자외가구,542264.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,전체,전체가구,397154.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100만원 미만,전체가구,232713.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100~200만원 미만,전체가구,281651.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,200~300만원 미만,전체가구,304729.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,300~400만원 미만,전체가구,351839.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,400~500만원 미만,전체가구,414886.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,500~600만원 미만,전체가구,467930.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,600만원이상 ~ 700미만,전체가구,552463.5
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,전체,근로자가구,402831.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100만원 미만,근로자가구,201007.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100~200만원 미만,근로자가구,235370.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,200~300만원 미만,근로자가구,261331.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,300~400만원 미만,근로자가구,316869.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,400~500만원 미만,근로자가구,389217.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,500~600만원 미만,근로자가구,461059.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,600만원이상 ~ 700미만,근로자가구,548304.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,전체,근로자외가구,389001.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100만원 미만,근로자외가구,238072.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,100~200만원 미만,근로자외가구,309177.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,200~300만원 미만,근로자외가구,367001.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,300~400만원 미만,근로자외가구,420019.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,400~500만원 미만,근로자외가구,465238.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,500~600만원 미만,근로자외가구,483200.0
2021,01 식료품 및 비주류음료,1,식료품 및 비주류음료,105.89,600만원이상 ~ 700미만,근로자외가구,564401.5
2012,02 주류 및 담배,2,주류 및 담배,63.402,전체,전체가구,25760.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,100만원 미만,전체가구,12697.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,100~200만원 미만,전체가구,19995.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,200~300만원 미만,전체가구,28168.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,300~400만원 미만,전체가구,29219.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,400~500만원 미만,전체가구,31302.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,500~600만원 미만,전체가구,31667.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,600만원이상 ~ 700미만,전체가구,28878.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,전체,근로자가구,27314.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,100만원 미만,근로자가구,11888.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,100~200만원 미만,근로자가구,22510.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,200~300만원 미만,근로자가구,29125.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,300~400만원 미만,근로자가구,28763.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,400~500만원 미만,근로자가구,28793.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,500~600만원 미만,근로자가구,32296.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,600만원이상 ~ 700미만,근로자가구,27417.0
2012,02 주류 및 담배,2,주류 및 담배,63.402,전체,근로자외가구,23566.0
